BGC_name,BGC_full,Class,BiG-SCAPE class,Product Prediction,Clan,Family,Pfam_vector,Pfam_vector_length,Pfam_descriptor
Aq_AD10_region004,Aq_AD10_region004,Terpene,Terpene,terpene,13,13,['PF06439.11 PF06283.11 PF06439.11 PF03422.15 PF17829.1 PF02607.17 PF01593.24 PF00494.19 PF04116.13 PF00578.21 PF13545.6 PF00027.29 PF00694.19 PF00330.20 PF00330.20 PF06434.13 PF11791.8'],17.0,DUF1080;ThuA;DUF1080;CBM_6;GH115_C;B12-binding_2;Amino_oxidase;SQS_PSY;FA_hydroxylase;AhpC-TSA;HTH_Crp_2;cNMP_binding;Aconitase_C;Aconitase;Aconitase;Aconitase_2_N;Aconitase_B_N
Aq_aggregata_58,Aq_aggregata_58.1.region001,Terpene,Terpene,terpene,13,13,['PF11791.8 PF06434.13 PF00330.20 PF00330.20 PF00694.19 PF00027.29 PF13545.6 PF00578.21 PF04116.13 PF00494.19 PF01593.24 PF13411.6 PF17829.1 PF03422.15 PF06439.11 PF06283.11 PF06439.11'],17.0,Aconitase_B_N;Aconitase_2_N;Aconitase;Aconitase;Aconitase_C;cNMP_binding;HTH_Crp_2;AhpC-TSA;FA_hydroxylase;SQS_PSY;Amino_oxidase;MerR_1;GH115_C;CBM_6;DUF1080;ThuA;DUF1080
Aq_AD1_region008,Aq_AD1_region008,Terpene,Others,terpene.lanthipeptide,13,58,['PF10604.9 PF09365.10 PF04993.13 PF12704.7 PF02687.21 PF00005.27 PF04134.12 PF12833.7 PF05147.13 PF04738.13 PF14028.6 PF13517.6 PF13517.6 PF00144.24 PF12833.7 PF02163.22 PF02630.14 PF02421.18 PF07670.14 PF07664.12 PF07670.14 PF00892.20 PF00892.20 PF13302.7 PF01593.24 PF04240.12 PF05834.12 PF04473.12 PF00226.31 PF05099.13 PF06491.11 PF01553.21 PF03405.14 PF01966.22 PF12833.7 PF04055.21'],36.0,Polyketide_cyc2;DUF2461;TfoX_N;MacB_PCD;FtsX;ABC_tran;DUF393;HTH_18;LANC_like;Lant_dehydr_N;Lant_dehydr_C;VCBS;VCBS;Beta-lactamase;HTH_18;Peptidase_M50;SCO1-SenC;FeoB_N;Gate;FeoB_C;Gate;EamA;EamA;Acetyltransf_3;Amino_oxidase;Caroten_synth;Lycopene_cycl;DUF553;DnaJ;TerB;Disulph_isomer;Acyltransferase;FA_desaturase_2;HD;HTH_18;Radical_SAM
Aq_Aq107_contig_21,Aq_Aq107_contig_21.region001,Terpene,Terpene,terpene,13,58,['PF04055.21 PF13181.6 PF12833.7 PF01966.22 PF03405.14 PF01553.21 PF06491.11 PF05099.13 PF00226.31 PF04473.12 PF05834.12 PF04240.12 PF01593.24 PF13302.7 PF00892.20 PF00892.20 PF07670.14 PF07664.12 PF07670.14 PF02421.18 PF04023.14 PF02630.14 PF02163.22'],23.0,Radical_SAM;TPR_8;HTH_18;HD;FA_desaturase_2;Acyltransferase;Disulph_isomer;TerB;DnaJ;DUF553;Lycopene_cycl;Caroten_synth;Amino_oxidase;Acetyltransf_3;EamA;EamA;Gate;FeoB_C;Gate;FeoB_N;FeoA;SCO1-SenC;Peptidase_M50
Aq_amphilecti_8,Aq_amphilecti_8.1.region001,Terpene,Terpene,terpene,13,58,['PF00754.25 PF01966.22 PF03405.14 PF01553.21 PF06491.11 PF05099.13 PF00226.31 PF04473.12 PF05834.12 PF04240.12 PF01593.24 PF13302.7 PF00892.20 PF00892.20 PF07670.14 PF07664.12 PF07670.14 PF02421.18 PF04023.14 PF02630.14 PF02163.22'],21.0,F5_F8_type_C;HD;FA_desaturase_2;Acyltransferase;Disulph_isomer;TerB;DnaJ;DUF553;Lycopene_cycl;Caroten_synth;Amino_oxidase;Acetyltransf_3;EamA;EamA;Gate;FeoB_C;Gate;FeoB_N;FeoA;SCO1-SenC;Peptidase_M50
Aq_latercula_12,Aq_latercula_12.region001,Terpene,Terpene,terpene,13,58,['PF02163.22 PF02630.14 PF04023.14 PF02421.18 PF07670.14 PF07664.12 PF07670.14 PF00892.20 PF00892.20 PF13302.7 PF01593.24 PF04240.12 PF05834.12 PF04473.12 PF00226.31 PF05099.13 PF06491.11 PF01553.21 PF03405.14 PF01966.22 PF00754.25 PF15902.5'],22.0,Peptidase_M50;SCO1-SenC;FeoA;FeoB_N;Gate;FeoB_C;Gate;EamA;EamA;Acetyltransf_3;Amino_oxidase;Caroten_synth;Lycopene_cycl;DUF553;DnaJ;TerB;Disulph_isomer;Acyltransferase;FA_desaturase_2;HD;F5_F8_type_C;Sortilin-Vps10
Aq_AD1_region004,Aq_AD1_region004,Terpene,Terpene,terpene,13,59,['PF08811.11 PF07394.12 PF04072.14 PF00916.20 PF00005.27 PF00494.19 PF04240.12 PF01553.21 PF00535.26 PF13181.6 PF13265.6 PF00293.28 PF00156.27 PF03099.19 PF02410.15'],15.0,DUF1800;DUF1501;LCM;Sulfate_transp;ABC_tran;SQS_PSY;Caroten_synth;Acyltransferase;Glycos_transf_2;TPR_8;DUF4056;NUDIX;Pribosyltran;BPL_LplA_LipB;RsfS
Aq_Aq107_contig_33,Aq_Aq107_contig_33.region001,Terpene,Terpene,terpene,13,59,['PF01434.18 PF17862.1 PF00004.29 PF02410.15 PF03099.19 PF00156.27 PF00293.28 PF13265.6 PF13181.6 PF00535.26 PF04240.12 PF00494.19 PF00005.27 PF00916.20 PF04072.14 PF07394.12 PF08811.11'],17.0,Peptidase_M41;AAA_lid_3;AAA;RsfS;BPL_LplA_LipB;Pribosyltran;NUDIX;DUF4056;TPR_8;Glycos_transf_2;Caroten_synth;SQS_PSY;ABC_tran;Sulfate_transp;LCM;DUF1501;DUF1800
Aq_RZ0_19,Aq_RZ0_19.1.region001,Terpene,Terpene,terpene,13,59,['PF01645.17 PF01546.28 PF02635.15 PF00580.21 PF13361.6 PF00494.19 PF04240.12 PF01553.21 PF00535.26 PF13181.6 PF13265.6 PF01300.18 PF12833.7'],13.0,Glu_synthase;Peptidase_M20;DrsE;UvrD-helicase;UvrD_C;SQS_PSY;Caroten_synth;Acyltransferase;Glycos_transf_2;TPR_8;DUF4056;Sua5_yciO_yrdC;HTH_18
Aq_amphilecti_7,Aq_amphilecti_7.1.region001,Terpene,Terpene,terpene,13,59,['PF07394.12 PF04072.14 PF00916.20 PF00916.20 PF00005.27 PF00494.19 PF04240.12 PF01553.21 PF00535.26 PF13181.6 PF13265.6 PF00293.28 PF00156.27 PF03099.19 PF02410.15'],15.0,DUF1501;LCM;Sulfate_transp;Sulfate_transp;ABC_tran;SQS_PSY;Caroten_synth;Acyltransferase;Glycos_transf_2;TPR_8;DUF4056;NUDIX;Pribosyltran;BPL_LplA_LipB;RsfS
